qryid;collection;index;qrymode;k;qrylen;res_size;qry_time;search_time;nodes_evaluated;nodes_total;postings_evaluated;postings_total;client_time
46218;trec8;IDX_DR_SANSLEN;0;1000;4;1000;232446;232422;69098;0;0;0;232786
46297;trec8;IDX_DR_SANSLEN;0;1000;2;1000;251570;251541;73717;0;0;0;252130
46369;trec8;IDX_DR_SANSLEN;0;1000;5;1000;801962;801907;190349;0;0;0;802667
46487;trec8;IDX_DR_SANSLEN;0;1000;2;1000;221306;221258;66979;0;0;0;221805
46531;trec8;IDX_DR_SANSLEN;0;1000;1;756;23875;23855;7353;0;0;0;24383
46559;trec8;IDX_DR_SANSLEN;0;1000;3;1000;2267544;2267498;839915;0;0;0;2268297
46563;trec8;IDX_DR_SANSLEN;0;1000;3;1000;53171;50413;14653;0;0;0;53824
46612;trec8;IDX_DR_SANSLEN;0;1000;3;1000;84242;84193;25216;0;0;0;84842
46614;trec8;IDX_DR_SANSLEN;0;1000;3;1000;548421;545349;158463;0;0;0;549192
46743;trec8;IDX_DR_SANSLEN;0;1000;3;1000;44760;44736;13177;0;0;0;45430
46805;trec8;IDX_DR_SANSLEN;0;1000;2;1000;187078;187032;57150;0;0;0;187740
46825;trec8;IDX_DR_SANSLEN;0;1000;3;1000;163956;163901;53406;0;0;0;164601
46907;trec8;IDX_DR_SANSLEN;0;1000;2;1000;310017;309989;94756;0;0;0;310690
47038;trec8;IDX_DR_SANSLEN;0;1000;2;1000;172143;172114;54532;0;0;0;172709
47042;trec8;IDX_DR_SANSLEN;0;1000;2;1000;142319;142279;42588;0;0;0;142858
47049;trec8;IDX_DR_SANSLEN;0;1000;2;1000;103351;103309;31226;0;0;0;103760
47079;trec8;IDX_DR_SANSLEN;0;1000;0;0;37;5;1;0;0;0;415
47098;trec8;IDX_DR_SANSLEN;0;1000;7;1000;837273;837211;182328;0;0;0;837844
47145;trec8;IDX_DR_SANSLEN;0;1000;4;1000;334720;334683;96650;0;0;0;335108
47156;trec8;IDX_DR_SANSLEN;0;1000;2;1000;59527;59495;17470;0;0;0;59929
47231;trec8;IDX_DR_SANSLEN;0;1000;3;1000;328413;328379;106898;0;0;0;329074
47249;trec8;IDX_DR_SANSLEN;0;1000;2;1000;304811;304789;94792;0;0;0;305413
47266;trec8;IDX_DR_SANSLEN;0;1000;3;1000;400247;400197;114342;0;0;0;400737
47270;trec8;IDX_DR_SANSLEN;0;1000;3;1000;443404;440334;125201;0;0;0;443922
47422;trec8;IDX_DR_SANSLEN;0;1000;4;1000;260214;260177;77243;0;0;0;260700
47433;trec8;IDX_DR_SANSLEN;0;1000;3;1000;165193;165139;50769;0;0;0;165797
47535;trec8;IDX_DR_SANSLEN;0;1000;2;1000;126545;126502;38213;0;0;0;127245
47554;trec8;IDX_DR_SANSLEN;0;1000;4;1000;603820;603783;163390;0;0;0;604367
47601;trec8;IDX_DR_SANSLEN;0;1000;2;1000;73256;73225;22557;0;0;0;73837
47612;trec8;IDX_DR_SANSLEN;0;1000;2;1000;107762;107717;31296;0;0;0;108269
47643;trec8;IDX_DR_SANSLEN;0;1000;2;1000;411218;411161;125473;0;0;0;411783
47655;trec8;IDX_DR_SANSLEN;0;1000;1;2;311;286;39;0;0;0;826
47700;trec8;IDX_DR_SANSLEN;0;1000;7;1000;861155;861113;183256;0;0;0;862522
47734;trec8;IDX_DR_SANSLEN;0;1000;2;1000;104408;102442;31006;0;0;0;104981
