16802;cluewebB;bm25;IDX_DR;0;10;4;10;1813214;1698368;266770;0;0;0;1813924
17031;cluewebB;bm25;IDX_DR;0;10;2;10;257031;256979;6585;0;0;0;257503
17228;cluewebB;bm25;IDX_DR;0;10;6;10;2516923;2516858;352026;0;0;0;2608636
17249;cluewebB;bm25;IDX_DR;0;10;4;10;1830560;1778421;280146;0;0;0;1831393
17289;cluewebB;bm25;IDX_DR;0;10;7;10;11119421;11119346;1456098;0;0;0;11566209
17297;cluewebB;bm25;IDX_DR;0;10;5;10;3769519;3625244;552410;0;0;0;3771999
17357;cluewebB;bm25;IDX_DR;0;10;3;10;2344765;2344711;210607;0;0;0;2351921
17409;cluewebB;bm25;IDX_DR;0;10;3;10;3480513;3366362;358003;0;0;0;3480791
17421;cluewebB;bm25;IDX_DR;0;10;4;10;1569806;1569747;110093;0;0;0;1572935
17466;cluewebB;bm25;IDX_DR;0;10;2;10;390334;378940;60918;0;0;0;391129
17468;cluewebB;bm25;IDX_DR;0;10;6;10;1285154;1282648;172664;0;0;0;1290530
17469;cluewebB;bm25;IDX_DR;0;10;4;10;2742042;2713114;431051;0;0;0;2742319
17533;cluewebB;bm25;IDX_DR;0;10;1;10;430037;429982;13787;0;0;0;430756
17538;cluewebB;bm25;IDX_DR;0;10;7;10;2484162;2484060;335172;0;0;0;2570892
17554;cluewebB;bm25;IDX_DR;0;10;3;10;842856;797647;87885;0;0;0;846289
17632;cluewebB;bm25;IDX_DR;0;10;3;10;2386753;2334261;250322;0;0;0;2389796
17730;cluewebB;bm25;IDX_DR;0;10;6;10;6274710;6154872;864348;0;0;0;6546707
17906;cluewebB;bm25;IDX_DR;0;10;5;10;4821610;4687722;726247;0;0;0;5058672
17939;cluewebB;bm25;IDX_DR;0;10;3;10;7436620;7327005;711454;0;0;0;7441113
17958;cluewebB;bm25;IDX_DR;0;10;7;10;2565419;2396966;276068;0;0;0;2638926
18263;cluewebB;bm25;IDX_DR;0;10;3;10;1910628;1874757;207572;0;0;0;1915007
18301;cluewebB;bm25;IDX_DR;0;10;2;10;901792;890433;144908;0;0;0;904451
18470;cluewebB;bm25;IDX_DR;0;10;5;10;97490;71191;11090;0;0;0;98166
18527;cluewebB;bm25;IDX_DR;0;10;3;10;6511949;6511673;721991;0;0;0;6512237
18546;cluewebB;bm25;IDX_DR;0;10;3;10;2635376;2635323;161101;0;0;0;2640836
18790;cluewebB;bm25;IDX_DR;0;10;4;10;230630;179571;24252;0;0;0;231341
18847;cluewebB;bm25;IDX_DR;0;10;3;10;1381434;1380378;149962;0;0;0;1384323
