qryid;collection;index;qrymode;k;qrylen;res_size;qry_time;search_time;nodes_evaluated;nodes_total;postings_evaluated;postings_total;client_time
15682;gov2;bm25_simple_est;IDX_D_SANSLEN;1;10;6;10;772378;710694;111294;50410357;0;0;775390
15760;gov2;bm25_simple_est;IDX_D_SANSLEN;1;10;4;1;12853;4732;942;50410357;0;0;13000
15936;gov2;bm25_simple_est;IDX_D_SANSLEN;1;10;2;10;127483;127468;42536;50410357;0;0;128175
16238;gov2;bm25_simple_est;IDX_D_SANSLEN;1;10;4;2;55103;55054;12530;50410357;0;0;55689
16327;gov2;bm25_simple_est;IDX_D_SANSLEN;1;10;4;10;877319;877280;171799;50410357;0;0;880635
16386;gov2;bm25_simple_est;IDX_D_SANSLEN;1;10;5;10;662927;654098;118567;50410357;0;0;663794
16548;gov2;bm25_simple_est;IDX_D_SANSLEN;1;10;4;10;30701;30037;6818;50410357;0;0;30970
16649;gov2;bm25_simple_est;IDX_D_SANSLEN;1;10;6;10;3046497;3046464;448581;50410357;0;0;3048429
16750;gov2;bm25_simple_est;IDX_D_SANSLEN;1;10;4;10;1692818;1692773;337472;50410357;0;0;1696410
16802;gov2;bm25_simple_est;IDX_D_SANSLEN;1;10;4;10;1818673;1801816;355899;50410357;0;0;1822217
17031;gov2;bm25_simple_est;IDX_D_SANSLEN;1;10;2;10;32592;15123;2385;50410357;0;0;32920
17228;gov2;bm25_simple_est;IDX_D_SANSLEN;1;10;6;10;947354;947310;147135;50410357;0;0;950908
17249;gov2;bm25_simple_est;IDX_D_SANSLEN;1;10;4;10;2475658;2458237;466483;50410357;0;0;2479404
17289;gov2;bm25_simple_est;IDX_D_SANSLEN;1;10;7;10;2430890;2371416;345733;50410357;0;0;2435023
17297;gov2;bm25_simple_est;IDX_D_SANSLEN;1;10;5;10;444784;411516;71612;50410357;0;0;445633
17357;gov2;bm25_simple_est;IDX_D_SANSLEN;1;10;3;10;2994212;2994005;504053;50410357;0;0;2998265
17409;gov2;bm25_simple_est;IDX_D_SANSLEN;1;10;3;10;4528969;4513815;606260;50410357;0;0;4533999
17421;gov2;bm25_simple_est;IDX_D_SANSLEN;1;10;4;10;351086;290126;4965;50410357;0;0;353020
17466;gov2;bm25_simple_est;IDX_D_SANSLEN;1;10;2;10;281210;281173;85015;50410357;0;0;282064
17468;gov2;bm25_simple_est;IDX_D_SANSLEN;1;10;6;10;768938;768009;119081;50410357;0;0;771759
17469;gov2;bm25_simple_est;IDX_D_SANSLEN;1;10;4;10;4703109;4696381;876310;50410357;0;0;4706685
17533;gov2;bm25_simple_est;IDX_D_SANSLEN;1;10;1;10;1846950;1832844;454288;50410357;0;0;1851102
17538;gov2;bm25_simple_est;IDX_D_SANSLEN;1;10;7;10;736803;706284;102787;50410357;0;0;739911
17554;gov2;bm25_simple_est;IDX_D_SANSLEN;1;10;3;10;3449942;3441438;583168;50410357;0;0;3454832
17632;gov2;bm25_simple_est;IDX_D_SANSLEN;1;10;3;10;8384919;8368042;1095271;50410357;0;0;8389966
17730;gov2;bm25_simple_est;IDX_D_SANSLEN;1;10;6;10;1893553;1796064;181153;50410357;0;0;1898965
17906;gov2;bm25_simple_est;IDX_D_SANSLEN;1;10;5;10;5836547;5809749;972414;50410357;0;0;5840808
17939;gov2;bm25_simple_est;IDX_D_SANSLEN;1;10;3;10;2718629;2692933;458279;50410357;0;0;2727078
17958;gov2;bm25_simple_est;IDX_D_SANSLEN;1;10;7;10;2664480;2546521;333875;50410357;0;0;2666384
18263;gov2;bm25_simple_est;IDX_D_SANSLEN;1;10;3;10;665507;665465;123538;50410357;0;0;669212
18301;gov2;bm25_simple_est;IDX_D_SANSLEN;1;10;2;10;2156508;2152179;484514;50410357;0;0;2160196
18470;gov2;bm25_simple_est;IDX_D_SANSLEN;1;10;5;10;94414;65557;12732;50410357;0;0;94833
18527;gov2;bm25_simple_est;IDX_D_SANSLEN;1;10;3;10;3817984;3817946;578979;50410357;0;0;3822286
18546;gov2;bm25_simple_est;IDX_D_SANSLEN;1;10;3;10;4355844;4337263;581563;50410357;0;0;4360046
18790;gov2;bm25_simple_est;IDX_D_SANSLEN;1;10;4;10;428976;376639;20776;50410357;0;0;429671
18847;gov2;bm25_simple_est;IDX_D_SANSLEN;1;10;3;10;5898412;5898371;939306;50410357;0;0;5899964
18985;gov2;bm25_simple_est;IDX_D_SANSLEN;1;10;6;10;5550143;5550091;734690;50410357;0;0;5554055
19211;gov2;bm25_simple_est;IDX_D_SANSLEN;1;10;4;10;5863228;5840704;1062315;50410357;0;0;5869159
19215;gov2;bm25_simple_est;IDX_D_SANSLEN;1;10;5;10;220591;126941;15553;50410357;0;0;221060
19296;gov2;bm25_simple_est;IDX_D_SANSLEN;1;10;3;10;4135736;4135696;683852;50410357;0;0;4140659
19406;gov2;bm25_simple_est;IDX_D_SANSLEN;1;10;1;10;679763;668787;133659;50410357;0;0;681735
19557;gov2;bm25_simple_est;IDX_D_SANSLEN;1;10;3;10;83137;81198;16549;50410357;0;0;84341
19560;gov2;bm25_simple_est;IDX_D_SANSLEN;1;10;3;10;28454;27347;6343;50410357;0;0;29172
19662;gov2;bm25_simple_est;IDX_D_SANSLEN;1;10;5;10;1111238;1111172;191687;50410357;0;0;1114808
19663;gov2;bm25_simple_est;IDX_D_SANSLEN;1;10;14;10;8872847;8865510;867021;50410357;0;0;8874407
19703;gov2;bm25_simple_est;IDX_D_SANSLEN;1;10;3;10;3483744;3483702;632780;50410357;0;0;3487290
19708;gov2;bm25_simple_est;IDX_D_SANSLEN;1;10;3;10;400639;387162;53990;50410357;0;0;423334
19842;gov2;bm25_simple_est;IDX_D_SANSLEN;1;10;8;10;372557;341487;46825;50410357;0;0;374147
19871;gov2;bm25_simple_est;IDX_D_SANSLEN;1;10;10;10;5725524;5725462;657640;50410357;0;0;5726977
20039;gov2;bm25_simple_est;IDX_D_SANSLEN;1;10;6;10;399280;399226;62810;50410357;0;0;400749
20108;gov2;bm25_simple_est;IDX_D_SANSLEN;1;10;3;10;115807;112802;25550;50410357;0;0;116722
20137;gov2;bm25_simple_est;IDX_D_SANSLEN;1;10;7;10;9868232;9867365;1426411;50410357;0;0;10220339
20184;gov2;bm25_simple_est;IDX_D_SANSLEN;1;10;3;10;4072523;4058425;698340;50410357;0;0;4077108
20274;gov2;bm25_simple_est;IDX_D_SANSLEN;1;10;3;10;1214545;1188857;173400;50410357;0;0;1219022
20416;gov2;bm25_simple_est;IDX_D_SANSLEN;1;10;5;10;5169480;5117432;861387;50410357;0;0;5173668
20585;gov2;bm25_simple_est;IDX_D_SANSLEN;1;10;2;10;40596;2050;595;50410357;0;0;43404
20765;gov2;bm25_simple_est;IDX_D_SANSLEN;1;10;3;0;41480;41442;9143;50410357;0;0;42273
21294;gov2;bm25_simple_est;IDX_D_SANSLEN;1;10;7;10;826902;826851;118493;50410357;0;0;830475
21466;gov2;bm25_simple_est;IDX_D_SANSLEN;1;10;5;10;1189535;1171402;204571;50410357;0;0;1191398
21600;gov2;bm25_simple_est;IDX_D_SANSLEN;1;10;6;10;2800336;2800283;432014;50410357;0;0;2803809
21652;gov2;bm25_simple_est;IDX_D_SANSLEN;1;10;8;10;5458729;5396637;747386;50410357;0;0;5460357
21774;gov2;bm25_simple_est;IDX_D_SANSLEN;1;10;3;10;1748290;1748252;315412;50410357;0;0;1751470
21813;gov2;bm25_simple_est;IDX_D_SANSLEN;1;10;6;10;139718;91066;11637;50410357;0;0;140391
21855;gov2;bm25_simple_est;IDX_D_SANSLEN;1;10;3;10;332689;332649;72449;50410357;0;0;334105
22267;gov2;bm25_simple_est;IDX_D_SANSLEN;1;10;5;10;1877218;1867240;329343;50410357;0;0;1880465
22352;gov2;bm25_simple_est;IDX_D_SANSLEN;1;10;3;10;660355;651642;129482;50410357;0;0;663738
22360;gov2;bm25_simple_est;IDX_D_SANSLEN;1;10;4;10;440842;413871;85524;50410357;0;0;441791
22426;gov2;bm25_simple_est;IDX_D_SANSLEN;1;10;5;10;35829;34822;6686;50410357;0;0;36200
22470;gov2;bm25_simple_est;IDX_D_SANSLEN;1;10;3;0;30108;30065;6789;50410357;0;0;30781
22502;gov2;bm25_simple_est;IDX_D_SANSLEN;1;10;4;10;1263356;1263312;237333;50410357;0;0;1266668
22536;gov2;bm25_simple_est;IDX_D_SANSLEN;1;10;3;3;23538;13207;1523;50410357;0;0;23844
22547;gov2;bm25_simple_est;IDX_D_SANSLEN;1;10;5;2;32560;32526;6437;50410357;0;0;32810
22768;gov2;bm25_simple_est;IDX_D_SANSLEN;1;10;4;10;334659;334630;71781;50410357;0;0;336594
22793;gov2;bm25_simple_est;IDX_D_SANSLEN;1;10;4;10;602439;601633;126340;50410357;0;0;603449
22961;gov2;bm25_simple_est;IDX_D_SANSLEN;1;10;3;10;866051;863426;173813;50410357;0;0;869512
23026;gov2;bm25_simple_est;IDX_D_SANSLEN;1;10;3;10;190741;173820;32476;50410357;0;0;191922
23167;gov2;bm25_simple_est;IDX_D_SANSLEN;1;10;4;10;490191;487673;97162;50410357;0;0;492259
23178;gov2;bm25_simple_est;IDX_D_SANSLEN;1;10;8;3;8875;7461;1023;50410357;0;0;9007
23410;gov2;bm25_simple_est;IDX_D_SANSLEN;1;10;3;10;58307;58283;13913;50410357;0;0;59043
23452;gov2;bm25_simple_est;IDX_D_SANSLEN;1;10;5;10;1598260;1598075;287269;50410357;0;0;1599959
23471;gov2;bm25_simple_est;IDX_D_SANSLEN;1;10;4;10;201423;201380;43274;50410357;0;0;203373
23478;gov2;bm25_simple_est;IDX_D_SANSLEN;1;10;5;10;483604;483129;84929;50410357;0;0;484451
23521;gov2;bm25_simple_est;IDX_D_SANSLEN;1;10;4;10;2825170;2824771;548110;50410357;0;0;2828652
23549;gov2;bm25_simple_est;IDX_D_SANSLEN;1;10;2;10;1695745;1691788;421995;50410357;0;0;1697331
23643;gov2;bm25_simple_est;IDX_D_SANSLEN;1;10;4;10;1005131;992341;200879;50410357;0;0;1007517
23728;gov2;bm25_simple_est;IDX_D_SANSLEN;1;10;4;10;3506133;3503431;718613;50410357;0;0;3509612
23811;gov2;bm25_simple_est;IDX_D_SANSLEN;1;10;3;10;1447635;1436184;227506;50410357;0;0;1451134
24280;gov2;bm25_simple_est;IDX_D_SANSLEN;1;10;9;10;759163;662205;79964;50410357;0;0;760759
24372;gov2;bm25_simple_est;IDX_D_SANSLEN;1;10;2;10;259410;259374;78042;50410357;0;0;260270
24525;gov2;bm25_simple_est;IDX_D_SANSLEN;1;10;3;10;78459;77566;17064;50410357;0;0;80570
24549;gov2;bm25_simple_est;IDX_D_SANSLEN;1;10;3;10;184291;183178;38534;50410357;0;0;185300
