qryid;collection;ranker;index;qrymode;k;qrylen;res_size;qry_time;search_time;nodes_evaluated;nodes_total;postings_evaluated;postings_total;client_time
11041;gov2;bm25;INVIDX_E_BM25;0;100;3;100;58850;58832;0;0;245000;245164;58998
11070;gov2;bm25;INVIDX_E_BM25;0;100;3;100;564428;564404;0;0;2483728;2488253;564635
11094;gov2;bm25;INVIDX_E_BM25;0;100;5;100;5296231;5296198;0;0;18697502;22526218;5296449
11110;gov2;bm25;INVIDX_E_BM25;0;100;4;100;1876377;1876345;0;0;7272813;7943276;1876604
11213;gov2;bm25;INVIDX_E_BM25;0;100;1;6;30;8;0;0;6;6;122
11245;gov2;bm25;INVIDX_E_BM25;0;100;3;100;85236;85219;0;0;324464;329975;85429
11322;gov2;bm25;INVIDX_E_BM25;0;100;2;100;5061;5036;0;0;20374;20619;5156
11414;gov2;bm25;INVIDX_E_BM25;0;100;2;100;118684;118671;0;0;511872;511877;118886
11416;gov2;bm25;INVIDX_E_BM25;0;100;5;100;6084695;6084661;0;0;19381552;31185807;6084927
11519;gov2;bm25;INVIDX_E_BM25;0;100;3;100;1188771;1188743;0;0;4991038;5692802;1189002
11642;gov2;bm25;INVIDX_E_BM25;0;100;1;100;10166;10146;0;0;48706;48706;10262
11732;gov2;bm25;INVIDX_E_BM25;0;100;1;100;62815;62805;0;0;353649;353649;62969
11750;gov2;bm25;INVIDX_E_BM25;0;100;3;100;461232;461206;0;0;2080847;2119509;461447
11778;gov2;bm25;INVIDX_E_BM25;0;100;3;100;872967;872938;0;0;3627762;3708878;873186
11832;gov2;bm25;INVIDX_E_BM25;0;100;2;100;95375;95341;0;0;413532;418168;95585
11868;gov2;bm25;INVIDX_E_BM25;0;100;6;100;3039761;3039724;0;0;9789112;10943485;3039983
11887;gov2;bm25;INVIDX_E_BM25;0;100;2;100;15431;15406;0;0;59829;59852;15522
11895;gov2;bm25;INVIDX_E_BM25;0;100;3;100;1258218;1258202;0;0;5432220;5761993;1258417
11905;gov2;bm25;INVIDX_E_BM25;0;100;3;100;2415104;2415077;0;0;10538329;12076637;2415318
11924;gov2;bm25;INVIDX_E_BM25;0;100;3;100;23928;23892;0;0;88137;88670;24038
11928;gov2;bm25;INVIDX_E_BM25;0;100;1;12;16;7;0;0;12;12;96
11968;gov2;bm25;INVIDX_E_BM25;0;100;2;100;7468;7456;0;0;30624;30703;7539
12064;gov2;bm25;INVIDX_E_BM25;0;100;1;100;100;90;0;0;298;298;168
12121;gov2;bm25;INVIDX_E_BM25;0;100;2;100;101441;101429;0;0;437704;437821;101627
12129;gov2;bm25;INVIDX_E_BM25;0;100;7;100;8439572;8439532;0;0;22062006;40135459;8439752
12169;gov2;bm25;INVIDX_E_BM25;0;100;10;100;11293004;11292960;0;0;20419534;58450963;11293223
12178;gov2;bm25;INVIDX_E_BM25;0;100;6;100;3047957;3047922;0;0;9258857;12861960;3048181
12240;gov2;bm25;INVIDX_E_BM25;0;100;1;100;601;580;0;0;2165;2165;696
12509;gov2;bm25;INVIDX_E_BM25;0;100;3;100;985836;985819;0;0;4072015;4833204;986035
12550;gov2;bm25;INVIDX_E_BM25;0;100;2;100;4896;4871;0;0;19385;21601;4987
12716;gov2;bm25;INVIDX_E_BM25;0;100;2;100;18176;18163;0;0;79590;79650;18250
12722;gov2;bm25;INVIDX_E_BM25;0;100;3;100;22479;22464;0;0;84374;86008;22576
12779;gov2;bm25;INVIDX_E_BM25;0;100;3;100;570386;570369;0;0;2370309;2489410;570579
12850;gov2;bm25;INVIDX_E_BM25;0;100;3;100;610620;610589;0;0;2501794;2801327;610827
12874;gov2;bm25;INVIDX_E_BM25;0;100;1;100;100;80;0;0;209;209;188
12921;gov2;bm25;INVIDX_E_BM25;0;100;2;100;668924;668910;0;0;3285567;3356213;669128
12931;gov2;bm25;INVIDX_E_BM25;0;100;2;100;148071;148045;0;0;682685;682737;148289
12984;gov2;bm25;INVIDX_E_BM25;0;100;5;100;7613046;7613013;0;0;20496974;47150307;7613265
12990;gov2;bm25;INVIDX_E_BM25;0;100;2;100;132824;132799;0;0;583169;607237;133051
13066;gov2;bm25;INVIDX_E_BM25;0;100;1;100;745;724;0;0;2823;2823;836
13077;gov2;bm25;INVIDX_E_BM25;0;100;5;100;1068504;1068482;0;0;3738261;3947496;1068692
13307;gov2;bm25;INVIDX_E_BM25;0;100;4;100;751662;751630;0;0;2936569;3004429;751884
13308;gov2;bm25;INVIDX_E_BM25;0;100;2;100;29161;29135;0;0;126227;126334;29266
13335;gov2;bm25;INVIDX_E_BM25;0;100;3;100;6917;6901;0;0;24082;24236;6993
13391;gov2;bm25;INVIDX_E_BM25;0;100;2;100;376592;376580;0;0;1811505;1873234;376794
13404;gov2;bm25;INVIDX_E_BM25;0;100;2;100;26516;26490;0;0;110464;111063;26612
13443;gov2;bm25;INVIDX_E_BM25;0;100;6;100;1657068;1657035;0;0;4897722;6670766;1657279
13452;gov2;bm25;INVIDX_E_BM25;0;100;2;100;557853;557828;0;0;2584185;2814867;558069
13483;gov2;bm25;INVIDX_E_BM25;0;100;2;100;12003;11978;0;0;49186;49215;12096
13527;gov2;bm25;INVIDX_E_BM25;0;100;5;100;784884;784863;0;0;2772299;2889385;785087
13561;gov2;bm25;INVIDX_E_BM25;0;100;2;100;191418;191393;0;0;929483;942599;191614
13604;gov2;bm25;INVIDX_E_BM25;0;100;4;100;3792578;3792545;0;0;15133460;16966250;3792803
13644;gov2;bm25;INVIDX_E_BM25;0;100;1;100;709428;709407;0;0;4022425;4022425;709658
13649;gov2;bm25;INVIDX_E_BM25;0;100;3;100;986386;986356;0;0;4158816;4672248;986606
13750;gov2;bm25;INVIDX_E_BM25;0;100;1;100;10094;10072;0;0;48706;48706;10186
13911;gov2;bm25;INVIDX_E_BM25;0;100;3;100;2475481;2475464;0;0;9598842;14073724;2475673
14015;gov2;bm25;INVIDX_E_BM25;0;100;4;100;49356;49324;0;0;165028;169286;49508
14025;gov2;bm25;INVIDX_E_BM25;0;100;2;100;79775;79757;0;0;331705;347168;79987
14035;gov2;bm25;INVIDX_E_BM25;0;100;1;11;29;9;0;0;11;11;117
14094;gov2;bm25;INVIDX_E_BM25;0;100;5;100;602381;602359;0;0;2098136;2183926;602572
14098;gov2;bm25;INVIDX_E_BM25;0;100;2;100;18445;18420;0;0;75637;75660;18537
14124;gov2;bm25;INVIDX_E_BM25;0;100;1;75;40;30;0;0;75;75;114
