qryid;collection;index;qrymode;k;qrylen;res_size;qry_time;search_time;nodes_evaluated;nodes_total;postings_evaluated;postings_total;client_time
9937;gov2;IDX_D;3;10;1;10;606;332;221;50410357;0;0;678
9950;gov2;IDX_D;3;10;1;10;655;512;429;50410357;0;0;733
9990;gov2;IDX_D;3;10;1;10;699;650;592;50410357;0;0;775
10044;gov2;IDX_D;3;10;3;0;784;477;177;50410357;0;0;856
10123;gov2;IDX_D;3;10;3;10;15394;15111;6407;50410357;0;0;15681
10127;gov2;IDX_D;3;10;2;10;12688;12418;7339;50410357;0;0;12809
10135;gov2;IDX_D;3;10;1;10;1055;908;813;50410357;0;0;1136
10140;gov2;IDX_D;3;10;2;0;316;75;5;50410357;0;0;391
10144;gov2;IDX_D;3;10;1;1;372;104;26;50410357;0;0;444
10170;gov2;IDX_D;3;10;1;10;20571;20527;17118;50410357;0;0;20996
10212;gov2;IDX_D;3;10;3;10;59809;59479;20709;50410357;0;0;60368
10336;gov2;IDX_D;3;10;1;10;4799;3969;2983;50410357;0;0;4943
10340;gov2;IDX_D;3;10;3;0;781;176;9;50410357;0;0;860
10377;gov2;IDX_D;3;10;1;7;385;245;157;50410357;0;0;457
10446;gov2;IDX_D;3;10;1;10;1408;1264;1106;50410357;0;0;1497
10447;gov2;IDX_D;3;10;2;10;46265;45983;28150;50410357;0;0;46755
10448;gov2;IDX_D;3;10;3;2;4531;4098;1495;50410357;0;0;4666
10475;gov2;IDX_D;3;10;3;0;1805;1207;413;50410357;0;0;1881
10560;gov2;IDX_D;3;10;2;10;286065;285927;157094;50410357;0;0;301383
10567;gov2;IDX_D;3;10;3;0;25806;214;43;50410357;0;0;45352
10587;gov2;IDX_D;3;10;3;0;24804;228;15;50410357;0;0;65604
10603;gov2;IDX_D;3;10;1;10;36899;3498;2731;50410357;0;0;58615
10635;gov2;IDX_D;3;10;3;4;20119;891;319;50410357;0;0;35828
10659;gov2;IDX_D;3;10;2;0;18707;307;108;50410357;0;0;47954
10678;gov2;IDX_D;3;10;1;1;18220;81;26;50410357;0;0;37282
10704;gov2;IDX_D;3;10;2;0;24593;296;85;50410357;0;0;51229
10762;gov2;IDX_D;3;10;1;10;31972;10657;8194;50410357;0;0;44798
10841;gov2;IDX_D;3;10;1;10;23966;316;223;50410357;0;0;47515
10861;gov2;IDX_D;3;10;1;2;24167;97;44;50410357;0;0;25133
10966;gov2;IDX_D;3;10;1;10;985;936;848;50410357;0;0;23178
10975;gov2;IDX_D;3;10;2;10;26339;2013;1161;50410357;0;0;26416
11008;gov2;IDX_D;3;10;1;10;706;560;480;50410357;0;0;784
11010;gov2;IDX_D;3;10;3;6;13044;12746;5270;50410357;0;0;13315
11030;gov2;IDX_D;3;10;2;0;930;266;66;50410357;0;0;1009
11032;gov2;IDX_D;3;10;1;10;9043;9004;8000;50410357;0;0;9278
11041;gov2;IDX_D;3;10;3;1;5183;4878;1871;50410357;0;0;5387
11070;gov2;IDX_D;3;10;2;0;448;205;85;50410357;0;0;522
11094;gov2;IDX_D;3;10;3;5;1534;1118;360;50410357;0;0;1607
11110;gov2;IDX_D;3;10;1;2;546;134;29;50410357;0;0;619
11213;gov2;IDX_D;3;10;1;6;236;180;138;50410357;0;0;307
11245;gov2;IDX_D;3;10;2;0;323;93;20;50410357;0;0;393
11322;gov2;IDX_D;3;10;1;10;739;598;411;50410357;0;0;813
11414;gov2;IDX_D;3;10;2;5;1570;1426;794;50410357;0;0;1643
11416;gov2;IDX_D;3;10;1;1;746;150;26;50410357;0;0;820
11519;gov2;IDX_D;3;10;1;10;880;621;505;50410357;0;0;956
11642;gov2;IDX_D;3;10;1;10;10439;10397;9146;50410357;0;0;10680
11732;gov2;IDX_D;3;10;1;10;45077;45031;36873;50410357;0;0;45566
11750;gov2;IDX_D;3;10;2;0;791;156;43;50410357;0;0;878
11778;gov2;IDX_D;3;10;2;10;1579;1268;635;50410357;0;0;1653
11832;gov2;IDX_D;3;10;1;7;369;231;146;50410357;0;0;441
11868;gov2;IDX_D;3;10;2;0;744;164;5;50410357;0;0;818
11887;gov2;IDX_D;3;10;2;10;9470;9327;5208;50410357;0;0;9558
11895;gov2;IDX_D;3;10;3;10;39145;38859;14032;50410357;0;0;39640
11905;gov2;IDX_D;3;10;3;10;1467557;1466742;439472;50410357;0;0;1470433
11924;gov2;IDX_D;3;10;2;0;10370;2905;15;50410357;0;0;11861
11928;gov2;IDX_D;3;10;1;10;61402;58588;214;50410357;0;0;62942
11968;gov2;IDX_D;3;10;1;10;7131;399;232;50410357;0;0;8577
12064;gov2;IDX_D;3;10;1;10;798;747;558;50410357;0;0;873
12121;gov2;IDX_D;3;10;1;2;256;109;49;50410357;0;0;331
12129;gov2;IDX_D;3;10;5;0;2626;1099;286;50410357;0;0;2706
12169;gov2;IDX_D;3;10;5;0;2134;259;6;50410357;0;0;2211
12178;gov2;IDX_D;3;10;3;1;922;260;54;50410357;0;0;1000
12240;gov2;IDX_D;3;10;1;10;1055;1005;848;50410357;0;0;1138
12509;gov2;IDX_D;3;10;1;10;862;581;428;50410357;0;0;942
12550;gov2;IDX_D;3;10;1;10;842;713;590;50410357;0;0;919
12716;gov2;IDX_D;3;10;2;10;11544;11398;6355;50410357;0;0;11657
12722;gov2;IDX_D;3;10;2;0;399;170;66;50410357;0;0;474
12779;gov2;IDX_D;3;10;2;10;3044;2784;1629;50410357;0;0;3120
12850;gov2;IDX_D;3;10;1;10;605;353;232;50410357;0;0;678
12874;gov2;IDX_D;3;10;1;10;474;416;352;50410357;0;0;548
12921;gov2;IDX_D;3;10;2;10;176672;176538;99017;50410357;0;0;177220
12931;gov2;IDX_D;3;10;2;10;6579;5262;2871;50410357;0;0;6673
12984;gov2;IDX_D;3;10;2;10;18821;18190;9529;50410357;0;0;18978
12990;gov2;IDX_D;3;10;1;10;480;312;217;50410357;0;0;562
13066;gov2;IDX_D;3;10;1;10;1303;1252;1177;50410357;0;0;1394
13077;gov2;IDX_D;3;10;2;0;723;209;42;50410357;0;0;797
13307;gov2;IDX_D;3;10;3;3;1409;1067;392;50410357;0;0;1483
13308;gov2;IDX_D;3;10;2;10;21007;20861;11535;50410357;0;0;21144
13335;gov2;IDX_D;3;10;3;2;15969;15663;6513;50410357;0;0;16293
13391;gov2;IDX_D;3;10;2;10;440905;440748;227914;50410357;0;0;443304
13404;gov2;IDX_D;3;10;1;5;7137;2698;112;50410357;0;0;7234
13443;gov2;IDX_D;3;10;3;0;980;184;4;50410357;0;0;1060
13452;gov2;IDX_D;3;10;2;10;901358;901222;415225;50410357;0;0;904122
13483;gov2;IDX_D;3;10;1;1;21046;15858;26;50410357;0;0;21208
13527;gov2;IDX_D;3;10;3;0;716;167;17;50410357;0;0;796
13561;gov2;IDX_D;3;10;1;10;2856;2719;2353;50410357;0;0;2976
