qryid;collection;index;qrymode;k;qrylen;res_size;qry_time;search_time;nodes_evaluated;nodes_total;postings_evaluated;postings_total;client_time
58107;gov2;IDX_D;2;1000;4;1000;2006446;1989433;519499;50410357;0;0;2008716
58113;gov2;IDX_D;2;1000;1;1000;93339;89855;20183;50410357;0;0;94116
58206;gov2;IDX_D;2;1000;2;1000;193809;193554;96208;50410357;0;0;195174
58302;gov2;IDX_D;2;1000;5;1000;3776065;3772198;1010073;50410357;0;0;3991562
58424;gov2;IDX_D;2;1000;3;1000;7674537;7636472;2846144;50410357;0;0;8285639
58447;gov2;IDX_D;2;1000;4;1000;1717865;1702303;419164;50410357;0;0;1721700
58470;gov2;IDX_D;2;1000;1;80;45878;37683;1351;50410357;0;0;46448
58474;gov2;IDX_D;2;1000;2;1000;265663;264860;124343;50410357;0;0;266883
58569;gov2;IDX_D;2;1000;1;61;5017;1892;1052;50410357;0;0;5531
58750;gov2;IDX_D;2;1000;3;1000;1639855;1639417;394773;50410357;0;0;1641621
58889;gov2;IDX_D;2;1000;1;1;8676;1762;26;50410357;0;0;10791
58963;gov2;IDX_D;2;1000;3;1000;2112301;2102684;887723;50410357;0;0;2301574
59069;gov2;IDX_D;2;1000;1;1;14017;1786;26;50410357;0;0;16590
59353;gov2;IDX_D;2;1000;4;1000;642413;630983;189427;50410357;0;0;644539
59381;gov2;IDX_D;2;1000;7;1000;6584534;6561506;1601328;50410357;0;0;6855518
59519;gov2;IDX_D;2;1000;3;1000;1901954;1847515;514277;50410357;0;0;1904160
59595;gov2;IDX_D;2;1000;1;1;9913;1735;26;50410357;0;0;12012
59638;gov2;IDX_D;2;1000;2;1000;1153995;1146875;456004;50410357;0;0;1156262
59727;gov2;IDX_D;2;1000;1;2;30258;13792;38;50410357;0;0;31368
59962;gov2;IDX_D;2;1000;1;220;6236;5816;3337;50410357;0;0;6716
60166;gov2;IDX_D;2;1000;7;1000;6421271;6417659;1444416;50410357;0;0;6708737
60325;gov2;IDX_D;2;1000;2;1000;1340626;1306171;490918;50410357;0;0;1342895
60337;gov2;IDX_D;2;1000;4;1000;5833655;5821534;1557647;50410357;0;0;6189496
60413;gov2;IDX_D;2;1000;4;1000;2309994;2297942;424002;50410357;0;0;2312145
60513;gov2;IDX_D;2;1000;1;687;35809;30668;9119;50410357;0;0;36430
60603;gov2;IDX_D;2;1000;4;1000;3539441;3538267;904672;50410357;0;0;3731071
60705;gov2;IDX_D;2;1000;1;1;13089;1792;26;50410357;0;0;15259
60897;gov2;IDX_D;2;1000;3;1000;1634745;1624779;517869;50410357;0;0;1636987
60922;gov2;IDX_D;2;1000;1;4;27906;13023;85;50410357;0;0;30027
60938;gov2;IDX_D;2;1000;2;1000;1608278;1597951;779635;50410357;0;0;1779390
60953;gov2;IDX_D;2;1000;1;118;66623;56480;1981;50410357;0;0;67138
61091;gov2;IDX_D;2;1000;4;1000;766876;765964;243517;50410357;0;0;769036
61149;gov2;IDX_D;2;1000;2;1000;61440;52536;21423;50410357;0;0;62188
61207;gov2;IDX_D;2;1000;3;1000;866063;865390;356864;50410357;0;0;868296
61260;gov2;IDX_D;2;1000;2;73;28349;17244;1143;50410357;0;0;29316
61509;gov2;IDX_D;2;1000;2;21;3436;963;328;50410357;0;0;3946
61644;gov2;IDX_D;2;1000;4;1000;1162458;1161701;341721;50410357;0;0;1164728
61773;gov2;IDX_D;2;1000;1;156;38495;18168;2721;50410357;0;0;39796
61793;gov2;IDX_D;2;1000;7;1000;3620608;3616158;898120;50410357;0;0;3761309
61956;gov2;IDX_D;2;1000;2;1000;472071;443557;189731;50410357;0;0;474301
62016;gov2;IDX_D;2;1000;1;3;13676;5353;67;50410357;0;0;14258
62053;gov2;IDX_D;2;1000;5;1000;5938288;5936946;1569603;50410357;0;0;6179616
62120;gov2;IDX_D;2;1000;2;1000;221458;189251;50166;50410357;0;0;222496
62318;gov2;IDX_D;2;1000;1;1000;42755;41691;24998;50410357;0;0;43663
62355;gov2;IDX_D;2;1000;1;1000;30430;30326;18826;50410357;0;0;31127
62499;gov2;IDX_D;2;1000;4;1000;3064848;3064021;1009119;50410357;0;0;3252579
62595;gov2;IDX_D;2;1000;4;1000;2553390;2536680;720713;50410357;0;0;2705260
62606;gov2;IDX_D;2;1000;4;1000;2735571;2723436;856329;50410357;0;0;2914928
62624;gov2;IDX_D;2;1000;2;1000;692052;682142;258532;50410357;0;0;694325
62644;gov2;IDX_D;2;1000;2;1000;102144;89792;49408;50410357;0;0;103264
62774;gov2;IDX_D;2;1000;2;1000;2749071;2748302;1312362;50410357;0;0;3043330
62816;gov2;IDX_D;2;1000;2;1000;466606;453690;192968;50410357;0;0;468059
63033;gov2;IDX_D;2;1000;3;1000;4455405;4444591;1096223;50410357;0;0;4601880
